Frequency (MHz),I_mean (Jy),I_serror (Jy),Q_mean (Jy),Q_serror (Jy),U_mean (Jy),U_serror (Jy),V_mean (Jy),V_serror (Jy)
1312.398000000000,5.978946934805976,0.003273141345434068,0.1649994586697883,0.003231288840442248,-0.1030480845831335,0.003299009273946740,0.04414722740140051,0.003153853557814265
1312.408050000000,5.904231336381701,0.003289361925045583,0.2103108822885487,0.002715794573507958,-0.09824413476097915,0.003304541453742253,0.04637014568858528,0.003237002695071112
1312.418100000000,5.866713515917460,0.003153300438051751,0.2746582861575815,0.003130450891870729,-0.09696346163853176,0.003127843804281698,0.04678997095118878,0.002875991549223942
1312.428150000000,6.117256320847405,0.003396549503546979,0.2004954793386989,0.003321439792377931,-0.1078630410496973,0.003281373001324820,0.04453096389726044,0.003277387941860236
1312.438200000000,5.809836837980482,0.003354751570077191,0.1463079893133707,0.003140630262285659,-0.09884523374235464,0.003006050474795566,0.03785588816289318,0.003045366865480890
1312.448250000000,5.913354629940457,0.003263696881674015,0.2664976422157552,0.003031112040277922,-0.1052202363265678,0.002958350305009663,0.04692211113663992,0.003339165579348142
1312.458300000000,5.948584604263305,0.003124459210160037,0.1828628445251120,0.003100951375249032,-0.1069014942014797,0.003219107458619308,0.05190726840701245,0.003500406658035576
1312.468350000000,5.881833153300815,0.003046312285591028,0.2056895690866642,0.003452085724547793,-0.1104343558546841,0.003265100725055586,0.04858702905334616,0.003094120253896346
1312.478400000000,5.932228157255385,0.003411884805761194,0.3908885756300555,0.003314072967524050,-0.1040659752312220,0.003324969823771698,0.04121035024408128,0.003316019178955565
1312.488450000000,5.971887095769246,0.003195910105996882,0.1370254079811275,0.003455014650745423,-0.1120107738301158,0.003009281045673234,0.04248305443082548,0.003242542829912651
1312.498500000000,6.406657044092814,0.006526161009155164,0.4093768181900183,0.007735189632863759,-0.1163726693685425,0.006024846824433976,0.05147446368828242,0.005806837079669913
1312.508550000000,5.981774353981018,0.003110731380769146,0.2023919816232390,0.003254583838964957,-0.1061034506549024,0.003273749371952202,0.04903119633905186,0.003140136976420839
1312.518600000000,6.106315975719028,0.003375155082925148,0.2396029522435533,0.003430127176598578,-0.1113805868158427,0.003428107613163006,0.04422872023234151,0.003045433215745735
1312.528650000000,5.766327598359850,0.002914286801271290,0.1349010293268495,0.002877547310932735,-0.1069978262608250,0.002938915060315996,0.04905179701781890,0.002911043705404715
1312.538700000000,5.905963709619310,0.003154820884446405,0.2045237078848812,0.003207888163724870,-0.1078568193647597,0.003132267282866450,0.04628503932411453,0.003383045450898708
1312.548750000000,6.154332447052002,0.003446870760028535,0.1798144549959236,0.003610482378151715,-0.1178486836065228,0.003321297491537512,0.04752316030244401,0.003288027946389493
1312.558800000000,5.942709130711026,0.003317185700201910,0.08569377787450018,0.003295098326261594,-0.1058741173134573,0.003418712910480619,0.04912413948724053,0.003194439453227457
1312.568850000000,5.865935701794094,0.003198036662350147,0.2075612932029698,0.003076297447025686,-0.1066716279450500,0.003423509457470466,0.04288881378553116,0.003396474913621496
1312.578900000000,5.775106231371562,0.003089932599508721,0.3268825633658303,0.003121241575586476,-0.1082451957640135,0.003411033505732996,0.04750846870439192,0.003041504720588920
1312.588950000000,6.064868670039707,0.003470939211840133,0.2013411703623003,0.003424373075065192,-0.1180820189105968,0.003347037344472499,0.04984253565016843,0.003415287543058428
1312.599000000000,5.919332504272461,0.003330484896727668,0.2262297117875682,0.003362267767007742,-0.1019817118377735,0.003027863116790316,0.04009329730296385,0.003244502912099944
1312.609050000000,5.997482008404202,0.003058585618412313,0.1434135463502672,0.003295635254984690,-0.1086260655493889,0.003473970286569207,0.04851888359464485,0.003187654398234365
1312.619100000000,5.929783365461561,0.003328175115532630,0.2313704820556773,0.003094323332658020,-0.1050600959143291,0.003343839834374060,0.04480963826034794,0.003253135492799290
1312.629150000000,6.125816045867072,0.003277763265873619,0.3199030920863152,0.003424750573252841,-0.1199151498782966,0.003307187794635359,0.04710160322255332,0.003083529064887441
1312.639200000000,6.071534744898478,0.003410247762943156,0.3702273945013682,0.003370716205516727,-0.1165291463826886,0.003331067751833514,0.03733606831184362,0.003055117799448150
1312.649250000000,5.920614112748040,0.003393273424649411,0.2120942148069541,0.003230842794645525,-0.1065947651061126,0.003295815855358240,0.04449080853749668,0.003293095924633532
1312.659300000000,6.023938888973660,0.003245123151648188,0.06364142504818220,0.003210140282191681,-0.1096609059772972,0.003188296845093881,0.04682868996415993,0.003407758492088969
1312.669350000000,6.127372259563870,0.003645005794475531,0.05475590499538359,0.003336782136775259,-0.1178240881715384,0.003455683459704789,0.04844320580834594,0.003245040396120396
1312.679400000000,5.753585910797119,0.003217915386091178,0.06189558859817528,0.003368114727355965,-0.1119320763171547,0.002852315577879578,0.03927166922072097,0.002951562269047899
